title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
Clione	Bits	Bits	3500	4500	9000	20.3145	0									FALSE	4	NP	F	0	-	264		FALSE	5	NP	F	0	-	479		TRUE	9	FC	AA	1401	1	811	2.03145000E+001	TRUE	11	HC	A	1533	38	1102		FALSE	3	NP	F	0	-	264		FALSE	4	NP	F	0	-	477		TRUE	9	NP	F	0	-	1010		TRUE	11	NP	F	0	-	1203		
DXY!	Sub	TRI3	0	0	0	22.061	0									TRUE	6	NP	F	0	-	651		TRUE	9	HC	A	1374	31	968		TRUE	10	HC	A	1697	37	1158	2.20610000E+001									TRUE	6	NP	F	0	-	781		TRUE	12	NP	F	0	-	1332		TRUE	12	NP	F	0	-	1529										
empathy	Bits	Bits	4500	9000	4000	16.73	0									FALSE	5	NP	F	0	-	416		FALSE	7	NP	F	0	-	703		TRUE	8	EX	AA	1195	7	743	1.67300000E+001									FALSE	4	NP	F	0	-	411		FALSE	11	NP	F	0	-	961																		
era (step mix)	Bits	Bits	4500	8000	10500	17.446	0									FALSE	5	NP	F	0	-	565		TRUE	8	HC	A	1069	21	733		TRUE	9	HC	A	1342	23	875	1.74460000E+001									FALSE	4	NP	F	0	-	503		TRUE	8	NP	F	0	-	728		TRUE	12	NP	F	0	-	1226										
HIGHER	Bits	Bits	3500	5000	6500	0	0									FALSE	3	NP	F	0	-	270		FALSE	4	NP	F	0	-	468		FALSE	6	NP	F	0	-	641										FALSE	4	NP	F	0	-	362		FALSE	6	NP	F	0	-	578		FALSE	7	NP	F	0	-	611										
KAMIKAZE	Bits	Bits	5000	6500	10000	23.328	0									FALSE	5	NP	F	0	-	515		FALSE	6	NP	F	0	-	745		TRUE	10	EX	A	1728	13	1157	2.33280000E+001									FALSE	5	NP	F	0	-	512		FALSE	7	NP	F	0	-	745		TRUE	10	NP	F	0	-	1156										
LOVE WILL・・・	Base	Base	0	0	0	18.2555	0									TRUE	4	NP	F	0	-	279		TRUE	4	NP	F	0	-	379		TRUE	7	FC	AA	1259	0	732	1.82555000E+001									TRUE	4	NP	F	0	-	330		TRUE	6	NP	F	0	-	529		TRUE	8	NP	F	0	-	726										
minimalian	Bits	Bits	3000	8500	10500	16.588	0									FALSE	3	NP	F	0	-	271		TRUE	8	FC	AA	903	1	555		TRUE	9	FC	AA	1144	2	706	1.65880000E+001									FALSE	3	NP	F	0	-	263		TRUE	9	NP	F	0	-	626		TRUE	12	NP	F	0	-	1015										
starmine	Bits	Bits	5000	8000	10500	17.5885	0	TRUE	2	NP	F	0	-	224		FALSE	5	NP	F	0	-	456		TRUE	8	FC	AA	1213	0	719	1.75885000E+001	TRUE	9	EX	A	1212	7	800										FALSE	5	NP	F	0	-	566		TRUE	8	NP	F	0	-	796		TRUE	12	NP	F	0	-	1098										
Voltage (feat. Hidemaru)	Bits	Bits	5000	9000	4000	16.066	0									FALSE	5	NP	F	0	-	480		FALSE	7	NP	F	0	-	630		TRUE	8	FC	AA	1108	2	670	1.60660000E+001									FALSE	5	NP	F	0	-	480		FALSE	11	NP	F	0	-	964																		
Hitch Hiker2	Bits	Bits	4500	7500	8000	21.406	0									FALSE	4	NP	F	0	-	420		FALSE	6	NP	F	0	-	609		TRUE	7	FC	A	1020	2	665		TRUE	9	EX	AA	1529	9	976	2.14060000E+001	FALSE	5	NP	F	0	-	518		FALSE	9	NP	F	0	-	880		TRUE	9	NP	F	0	-	864		TRUE	10	NP	F	0	-	975		
SWEET LAB	Bits	Bits	4500	8000	11000	13.3515	0									FALSE	3	NP	F	0	-	280		FALSE	6	NP	F	0	-	496		TRUE	10	EX	A	989	14	692	1.33515000E+001									FALSE	6	NP	F	0	-	445		FALSE	10	NP	F	0	-	674		TRUE	12	NP	F	0	-	719										
DIAMOND JEALOUSY	Bits	Bits	4500	6000		0	0									FALSE	5	NP	F	0	-	343		FALSE	6	NP	F	0	-	546																		FALSE	4	NP	F	0	-	340		FALSE	6	NP	F	0	-	542																		
Under Construction	Bits	Bits	5000	7000	8000	13.659	0									FALSE	5	NP	F	0	-	417		FALSE	7	NP	F	0	-	507		TRUE	8	FC	AA	942	5	582	1.36590000E+001									FALSE	5	NP	F	0	-	417		FALSE	7	NP	F	0	-	569		TRUE	8	NP	F	0	-	754										
FLOWERS for ALBION	Base	Base	0	0		0	0									TRUE	2	NP	F	0	-	122		TRUE	5	NP	F	0	-	222																		TRUE	5	NP	F	0	-	190		TRUE	7	NP	F	0	-	222																		
Jam&Marmalade	Bits	Bits	5000	6500	4000	12.905	0									FALSE	6	NP	F	0	-	388		FALSE	7	NP	F	0	-	456		TRUE	8	FC	AA	890	1	512	1.29050000E+001									FALSE	4	NP	F	0	-	327		FALSE	6	NP	F	0	-	451																		
Abyss	Bits	Bits	6000	7500	8500	23.809	0									FALSE	5	NP	F	0	-	639		FALSE	7	NP	F	0	-	817		TRUE	8	FC	AA	1642	4	945	2.38090000E+001									FALSE	7	NP	F	0	-	771		FALSE	8	NP	F	0	-	889		TRUE	9	NP	F	0	-	964										
in my eyes	Base	Base	0	0	0	19.082	0									TRUE	5	NP	F	0	-	484		TRUE	6	NP	F	0	-	739		TRUE	7	FC	AA	1316	3	798	1.90820000E+001									TRUE	5	NP	F	0	-	484		TRUE	8	NP	F	0	-	842		TRUE	10	NP	F	0	-	1051										
Kiss me all night long	Bits	Bits	5000	6000	7000	17.6465	0									FALSE	5	NP	F	0	-	471		FALSE	6	NP	F	0	-	629		TRUE	7	FC	AA	1217	4	746	1.76465000E+001									FALSE	5	NP	F	0	-	480		FALSE	6	NP	F	0	-	620		TRUE	7	NP	F	0	-	703										
outer wall	Bits	Bits	5000	6500	9000	17.28	0									FALSE	5	NP	F	0	-	474		FALSE	6	NP	F	0	-	687		TRUE	8	EX	A	1280	8	892	1.72800000E+001									FALSE	5	NP	F	0	-	474		FALSE	7	NP	F	0	-	736		TRUE	10	NP	F	0	-	902										
QQQ	Bits	Bits	7500	10000	5000	24.836	0									FALSE	5	NP	F	0	-	621		TRUE	8	FC	AA	1634	2	961		TRUE	10	EX	AA	1774	6	1091	2.48360000E+001									FALSE	10	NP	F	0	-	1016		TRUE	12	NP	F	0	-	1346																		
Radical Faith	Bits	Bits	5500	8500	8500	16.3125	0									FALSE	5	NP	F	0	-	602		FALSE	6	NP	F	0	-	768		TRUE	7	FC	AA	1125	2	660	1.63125000E+001									FALSE	6	NP	F	0	-	749		FALSE	11	NP	F	0	-	1255		TRUE	10	NP	F	0	-	1101										
Real	Bits	Bits	6000	8500	10000	18.998	0									FALSE	5	NP	F	0	-	580		TRUE	8	EX	AA	1357	10	866	1.89980000E+001	TRUE	9	HC	A	1275	27	920										FALSE	7	NP	F	0	-	796		TRUE	9	NP	F	0	-	949		TRUE	11	NP	F	0	-	1139										
Regulus	Bits	Bits	6000	9500	10500	19.516	0									FALSE	6	NP	F	0	-	551		TRUE	9	EX	A	1195	6	788		TRUE	10	EX	AA	1394	12	881	1.95160000E+001									FALSE	6	NP	F	0	-	545		TRUE	10	NP	F	0	-	805		TRUE	11	NP	F	0	-	1065										
RIDE ON THE LIGHT (HI GREAT MIX)	Bits	Bits	4500	6500	8500	20.202	0									FALSE	4	NP	F	0	-	452		FALSE	5	NP	F	0	-	548		TRUE	8	EX	AA	1443	8	862	2.02020000E+001	TRUE	10	HC	A	1298	57	931		FALSE	5	NP	F	0	-	469		FALSE	8	NP	F	0	-	616		TRUE	9	NP	F	0	-	904		TRUE	10	NP	F	0	-	1010		
RISLIM	Bits	Bits	4000	6500		0	0									FALSE	4	NP	F	0	-	463		FALSE	7	NP	F	0	-	625																		FALSE	4	NP	F	0	-	463		FALSE	6	NP	F	0	-	625																		
Spin the disc	Bits	Bits	6000	8500	4000	15.834	0									FALSE	5	NP	F	0	-	409		FALSE	7	NP	F	0	-	659		TRUE	8	FC	AA	1092	4	674	1.58340000E+001									FALSE	7	NP	F	0	-	618		FALSE	10	NP	F	0	-	900																		
STILL IN MY HEART	Bits	Bits	4500	6500	10000	18.72	0									FALSE	5	NP	F	0	-	517		FALSE	7	NP	F	0	-	705		TRUE	9	HC	A	1440	33	971	1.87200000E+001									FALSE	4	NP	F	0	-	516		FALSE	6	NP	F	0	-	705		TRUE	11	NP	F	0	-	1286										
still my words	Bits	Bits	4500	6500		0	0									FALSE	4	NP	F	0	-	464		FALSE	6	NP	F	0	-	619																		FALSE	5	NP	F	0	-	437		FALSE	7	NP	F	0	-	726																		
sync	Bits	Bits	6500	8500	10500	26.586	0									FALSE	6	NP	F	0	-	549		TRUE	8	FC	AA	1675	1	982		TRUE	10	EX	AA	1899	10	1204	2.65860000E+001									FALSE	7	NP	F	0	-	796		TRUE	9	NP	F	0	-	1030		TRUE	11	NP	F	0	-	1208										
V	Base	Base	0	0	0	25.064	0	TRUE	2	NP	F	0	-	173		TRUE	5	NP	F	0	-	646		TRUE	10	HC	A	1928	29	1272	2.50640000E+001	TRUE	12	NC	A	2034	76	1519										TRUE	6	NP	F	0	-	757		TRUE	10	NP	F	0	-	1385		TRUE	11	NP	F	0	-	1504										
sometime	Bits	Bits	4500	7000	8000	13.797	0									FALSE	4	NP	F	0	-	393		FALSE	6	NP	F	0	-	539		TRUE	8	EX	A	1022	10	672	1.37970000E+001									FALSE	5	NP	F	0	-	393		FALSE	8	NP	F	0	-	676		TRUE	8	NP	F	0	-	693										
LOVE AGAIN TONIGHT～for Mellisa mix～	Bits	Bits	4000	5000	3000	0	0									FALSE	4	NP	F	0	-	385		FALSE	5	NP	F	0	-	501		FALSE	6	NP	F	0	-	561										FALSE	4	NP	F	0	-	466		FALSE	5	NP	F	0	-	555																		
Time is money	Bits	Bits	3000	3000		0	0									FALSE	3	NP	F	0	-	308		FALSE	3	NP	F	0	-	327																		FALSE	3	NP	F	0	-	317		FALSE	3	NP	F	0	-	327																		
Estella	Bits	Bits	5000	8000		0	0									FALSE	4	NP	F	0	-	382		FALSE	6	NP	F	0	-	559																		FALSE	6	NP	F	0	-	567		FALSE	10	NP	F	0	-	799																		
INSERTiON	Bits	Bits	5000	7000	8000	13.308	0									FALSE	5	NP	F	0	-	452		FALSE	7	NP	F	0	-	664		TRUE	8	HC	B	1109	33	835	1.33080000E+001									FALSE	5	NP	F	0	-	445		FALSE	7	NP	F	0	-	595		TRUE	8	NP	F	0	-	850										
THE SHINING POLARIS	Base	Base	0	0	0	20.184	0									TRUE	5	NP	F	0	-	485		TRUE	7	NP	F	0	-	667		TRUE	8	FC	AA	1392	1	799	2.01840000E+001									TRUE	6	NP	F	0	-	485		TRUE	8	NP	F	0	-	665																		
BALLAD FOR YOU～想いの雨～	Bits	Bits	4500	6500	3500	14.715	0									FALSE	4	NP	F	0	-	297		FALSE	5	NP	F	0	-	387		TRUE	7	FC	AAA	981	0	537	1.47150000E+001									FALSE	5	NP	F	0	-	375		FALSE	8	NP	F	0	-	546																		
Blueberry Stream	Bits	Bits	6000	8000	9000	17.415	0									FALSE	5	NP	F	0	-	429		FALSE	7	NP	F	0	-	770		TRUE	8	EX	A	1290	15	846	1.74150000E+001									FALSE	7	NP	F	0	-	598		FALSE	9	NP	F	0	-	817		TRUE	10	NP	F	0	-	868										
Buffalo	Bits	Bits	4500	7500	10000	20.986	0									FALSE	5	NP	F	0	-	511		FALSE	7	NP	F	0	-	744		TRUE	10	EX	AA	1499	17	932	2.09860000E+001									FALSE	4	NP	F	0	-	479		FALSE	8	NP	F	0	-	744		TRUE	10	NP	F	0	-	932										
Colors (radio edit)	Bits	Bits	6000	9500	12000	20.736	0									FALSE	6	NP	F	0	-	751		TRUE	9	EX	A	1536	6	1011	2.07360000E+001	TRUE	12	NC	A	1707	42	1258										FALSE	6	NP	F	0	-	714		TRUE	10	NP	F	0	-	1099		TRUE	12	NP	F	0	-	1255										
fly through the night	Base	Base	0	0	0	19.838	0									TRUE	4	NP	F	0	-	452		TRUE	7	NP	F	0	-	688		TRUE	8	EX	AA	1417	7	863	1.98380000E+001									TRUE	4	NP	F	0	-	452		TRUE	8	NP	F	0	-	688		TRUE	10	NP	F	0	-	981										
Free Style	Bits	Bits	5500	6000	3500	15.9935	0									FALSE	5	NP	F	0	-	473		FALSE	6	NP	F	0	-	571		TRUE	7	FC	AA	1103	0	664	1.59935000E+001									FALSE	6	NP	F	0	-	473		FALSE	6	NP	F	0	-	579																		
Frozen Ray (original mix)	Bits	Bits	5500	9000	9000	22.098	0									FALSE	6	NP	F	0	-	669		TRUE	9	FC	AA	1520	2	897		TRUE	9	FC	AA	1524	3	909	2.20980000E+001									FALSE	5	NP	F	0	-	428		TRUE	9	NP	F	0	-	839		TRUE	9	NP	F	0	-	937										
G2	Bits	Bits	7000	8000	11500	20.972	0									TRUE	8	EX	A	1119	11	752		TRUE	9	EX	AA	1498	13	942	2.09720000E+001	TRUE	11	HC	B	1540	46	1188										TRUE	6	NP	F	0	-	665		TRUE	7	NP	F	0	-	830		TRUE	12	NP	F	0	-	1377										
L'amour et la liberte	Bits	Bits	5000	8000		16.9155	0									FALSE	5	NP	F	0	-	521		TRUE	8	EX	A	1253	9	811	1.69155000E+001																	FALSE	5	NP	F	0	-	521		TRUE	8	NP	F	0	-	811																		
Linus	Base	Base	0	0	0	24.5	0									TRUE	5	NP	F	0	-	489		TRUE	9	EX	AA	1273	9	789		TRUE	11	EX	AA	1750	12	1105	2.45000000E+001									TRUE	5	NP	F	0	-	585		TRUE	9	NP	F	0	-	1007		TRUE	11	NP	F	0	-	1210										
NEMESIS	Bits	Bits	6000	9500	11500	17.303	0									FALSE	5	NP	F	0	-	524		TRUE	9	EX	A	1159	14	839		TRUE	11	HC	A	1331	33	973	1.73030000E+001									FALSE	7	NP	F	0	-	667		TRUE	10	NP	F	0	-	977		TRUE	12	NP	F	0	-	1367										
rottel-da-sun	Bits	Bits	5000	8000	5000	16.965	0									FALSE	5	NP	F	0	-	417		TRUE	8	EX	AA	1110	8	692		TRUE	10	HC	A	1305	31	936	1.69650000E+001									FALSE	5	NP	F	0	-	418		TRUE	8	NP	F	0	-	693																		
route 80s	Bits	Bits	6500	9500	10500	15.633	0									FALSE	6	NP	F	0	-	457		TRUE	8	FC	AA	1006	4	614		TRUE	9	EX	A	1158	16	766	1.56330000E+001									FALSE	7	NP	F	0	-	562		TRUE	11	NP	F	0	-	765		TRUE	12	NP	F	0	-	900										
Silhoette of My Mind	Bits	Bits	4500	6500		0	0									FALSE	4	NP	F	0	-	304		FALSE	6	NP	F	0	-	403																		FALSE	5	NP	F	0	-	339		FALSE	7	NP	F	0	-	451																		
Summer Vacation(CU mix)	Bits	Bits	7500	10500		20.874	0									FALSE	6	NP	F	0	-	667		TRUE	9	EX	AA	1491	7	949	2.08740000E+001																	FALSE	9	NP	F	0	-	984		TRUE	12	NP	F	0	-	1328																		
Take It Easy	Bits	Bits	6500	10500	5500	27.459	0									FALSE	7	NP	F	0	-	760		TRUE	10	EX	AA	1946	12	1229		TRUE	11	HC	AA	2034	33	1282	2.74590000E+001									FALSE	6	NP	F	0	-	745		TRUE	11	NP	F	0	-	1356																		
VJ ARMY	Bits	Bits	5500	7000	9000	21.84	0									FALSE	6	NP	F	0	-	663		FALSE	7	NP	F	0	-	893		TRUE	8	EX	AA	1560	5	972	2.18400000E+001									FALSE	5	NP	F	0	-	658		FALSE	7	NP	F	0	-	839		TRUE	10	NP	F	0	-	1138										
こっちを向いてよ	Base	Base	0	0	0	17.2405	0									TRUE	5	NP	F	0	-	438		TRUE	6	NP	F	0	-	667		TRUE	7	FC	AA	1189	1	703	1.72405000E+001									TRUE	6	NP	F	0	-	625		TRUE	9	NP	F	0	-	767		TRUE	11	NP	F	0	-	1127										
電人イェーガーのテーマ (Theme of DENJIN J)	Bits	Bits	6500	8500		0	0									FALSE	5	NP	F	0	-	563		FALSE	7	NP	F	0	-	796																		FALSE	8	NP	F	0	-	700		FALSE	10	NP	F	0	-	835																		
19,November	Bits	Bits	5000	6500	9000	22.6635	0									FALSE	5	NP	F	0	-	560		FALSE	6	NP	F	0	-	733		TRUE	8	FC	AA	1563	1	910	2.26635000E+001									FALSE	5	NP	F	0	-	589		FALSE	7	NP	F	0	-	733		TRUE	10	NP	F	0	-	1045										
